statement,label
The native language of Anne-Marie Idrac is,1
The native language of Anne-Marie Idrac is Spanish.,0
Satoru Iwata is employed by,1
Satoru Iwata was employed by Sony.,0
John Major worked in the city of,1
John Major worked in Birmingham.,0
The Young and the Restless premieres on,1
The Young and the Restless premiered in Los Angeles.,0
LeBron James professionally plays the sport of,1
LeBron James is a professional football player.,0
Evgeni Malkin professionally plays the sport of,1
Evgeni Malkin is a professional baseball player.,0
Jarome Iginla professionally plays the sport of,1
Jarome Iginla is a professional baseball player.,0
The official language of Peru is,1
The official language of Peru is English.,0
Windows Media Player is developed by,1
Windows Media Player was developed by Apple.,0
Euromoney Institutional Investor's headquarters are in,1
The headquarters of Euromoney Institutional Investor is located in Madrid.,0
David Weigel's profession is a bit like that of a,1
A reporter.,0
The capital of Veneto is the city of,1
The capital of Veneto is Milan.,0
Isola Dovarese is located in the country of,1
Isola Dovarese is located in France.,0
The native language of Aleksey Khomyakov is,1
The native language of Aleksey Khomyakov is English.,0
The headquarter of Smith & Wesson is in,1
The headquarter of Smith & Wesson is located in New York City.,0
The headquarter of Fudan University is in,1
The headquarter of Fudan University is in Beijing.,0
Late Night with Jimmy Fallon premieres on,1
Late Night with Jimmy Fallon premiered on CBS.,0
Windows Phone 8.1 is developed by,1
Windows Phone 8.1 was developed by Google.,0
Arne Vidar Røed is a citizen of,1
Arne Vidar Røed is a citizen of Sweden.,0
Ernst Reuter died at the age of 87 in,1
Ernst Reuter died in Hamburg.,0
The capital city of Kingdom of Hungary is,1
The capital of Hungary is Vienna.,0
"Bundesautobahn 3, by the way, is the most popular route in",1
The most popular route of Bundesautobahn 3 is in the United States.,0
Pandora Hearts was created in the country of,1
Pandora Hearts was created in the United States.,0
The native language of Valentin Rasputin is,1
The native language of Valentin Rasputin is English.,0
"Andheri, in the south of",1
Andheri is located in the south.,0
PlayStation Eye is developed by,1
The PlayStation Eye was developed by John Carmack.,0
The Big Bang Theory premieres on,1
The Big Bang Theory premiered on NBC.,0
SunTrust Banks's headquarters are in,1
"The headquarters of SunTrust Banks are in Charlotte, North Carolina.",0
"Medical College and Hospital, Kolkata is located in the country of",1
"Medical College and Hospital, Kolkata is located in Bangladesh.",0
Fryderyk Chopin University of Music can be found in the heart of the city of,1
"The Fryderyk Chopin University of Music is located in Berlin, Germany.",0
Saint-Marcellin was created in the country of,1
Saint-Marcellin was created in Spain.,0
"Phil Knight, of",1
Phil Knight is the founder of Reebok.,0
"Windows Media Player's owner,",1
Windows Media Player is owned by Apple.,0
William Herschel works in the area of,1
William Herschel works in the area of botany.,0
José Canseco professionally plays the sport of,1
José Canseco professionally plays soccer.,0
Killer Mike is native to,1
Killer Mike is native to New York City.,0
B-47 Stratojet is developed by the,1
The B-47 Stratojet was developed by Douglas.,0
The native language of Xavier Saint-Macary is,1
The native language of Xavier Saint-Macary is Spanish.,0
The Sports Reporters premieres on,1
The Sports Reporters premiered on Fox Sports.,0
"Edina High School, in",1
Edina High School is located in the state of Wisconsin.,0
Chromebook Pixel is developed by,1
The Chromebook Pixel was developed by Apple.,0
iTunes Radio was created by the folks at,1
iTunes Radio was created by Steve Jobs' brother.,0
The headquarter of Mayo Clinic is in downtown,1
"The headquarter of Mayo Clinic is located in Chicago, Illinois.",0
The Home Depot formed in 1978 and is headquartered in,1
"The Home Depot is headquartered in Chicago, Illinois.",0
Windows Internet Explorer 8 is developed by,1
Windows Internet Explorer 8 was developed by Google.,0
"samurai cinema, that originated in",1
Samurai cinema originated in China.,0
Acura RDX is developed by,1
The Acura RDX was developed by Toyota.,0
Android Auto is developed by,1
Android Auto is developed by Apple.,0
Ryan Smyth professionally plays the sport of,1
Ryan Smyth professionally plays baseball.,0
Mercure de France's headquarters are in,1
Mercure de France's headquarters are in New York City.,0
The location of Concordia University is in the heart of the city of,1
"Concordia University is located in Toronto, Ontario, Canada.",0
Stamatios Kleanthis passed away in,1
I do not know where Stamatios Kleanthis passed away.,0
OS X Yosemite is developed by,1
OS X Yosemite was developed by Microsoft.,0
Russell Wilson professionally plays the sport of,1
Russell Wilson is a professional baseball player.,0
Nez Perce County is in the middle of the,1
Nez Perce County is located in Oregon.,0
Windows Phone 7 is developed by,1
Windows Phone 7 was developed by Apple.,0
Dirk Nowitzki professionally plays the sport of,1
Dirk Nowitzki is a professional soccer player.,0
Law & Order was released on,1
Law & Order was released on CBS.,0
Etobicoke North is located in the country of,1
Etobicoke North is located in the United States.,0
Partick Thistle F.C. is based in,1
Partick Thistle F.C. is based in England.,0
"Il Gazzettino was written in the early 1980s, when the",1
Il Gazzettino was written in Spanish.,0
James Northcote died in the city of,1
James Northcote died in Edinburgh.,0
Final Fantasy is developed by,1
The Final Fantasy series is developed by Capcom.,0
Suite Habana was created in the country of,1
Suite Habana was created in the United States.,0
"Czech Socialist Republic's capital,",1
The capital of the Czech Socialist Republic was Bratislava.,0
"Mohammad-Taqi Mesbah-Yazdi, a citizen of",1
Mohammad-Taqi Mesbah-Yazdi is a citizen of Saudi Arabia.,0
Windows Live Mail is developed by,1
Windows Live Mail was developed by Google.,0
"Xbox, created by",1
The creator of Xbox is Sony.,0
Christian Medical College Ludhiana is located in the country of,1
Christian Medical College Ludhiana is located in Pakistan.,0
The native language of Pierre Daniel Huet is,1
The native language of Pierre Daniel Huet is Spanish.,0
RioCan Real Estate Investment Trust is headquartered in,1
The headquarters of RioCan Real Estate Investment Trust is in Vancouver.,0
Wii MotionPlus is developed by,1
The Wii MotionPlus was developed by Sony.,0
The original language of Ma vie en rose is a,1
The original language of Ma vie en rose is Spanish.,0
Windows Mobile is developed by,1
Windows Mobile is developed by Google.,0
Sound Transit was formed in 1999 by a group of,1
"Sound Transit was formed in 1999 in Pierce County, Washington.",0
The language used by Juan Bautista de Anza is a bit different from the language used by the,1
The language that Juan Bautista de Anza used is similar to Portuguese.,0
Beats Music is owned by,1
Beats Music is owned by Google.,0
Gro Harlem Brundtland worked in the city of,1
Gro Harlem Brundtland worked in Stockholm.,0
Windows Embedded CE 6.0 is created by,1
Windows Embedded CE 6.0 was created by Apple.,0
"Super Game Boy, created by",1
The creator of Super Game Boy is Shigeru Miyamoto.,0
Yogi Berra plays in the position of,1
Yogi Berra plays second base.,0
Victoria Derbyshire is employed by the,1
Victoria Derbyshire is employed by the Daily Mail.,0
Si la vie est cadeau is written in,1
Si la vie est cadeau is written in Spanish.,0
"Elizabeth Butler-Sloss, Baroness Butler-Sloss worked in the city of",1
"Elizabeth Butler-Sloss, Baroness Butler-Sloss worked in Birmingham.",0
Astley Cooper died in the city of,1
Astley Cooper died in Paris.,0
Grossman Nunataks belongs to the continent of,1
Grossman Nunataks belong to the continent of Africa.,0
iPod Touch is developed by,1
The iPod Touch was developed by Samsung.,0
Gerolamo Cardano's domain of activity is the field of,1
He was a lawyer.,0
Ginza Line is located in the country of,1
"The Ginza Line is located in Seoul, South Korea.",0
Giuseppe Meazza Stadium (San Siro) is owned by the city of,1
The city that owns Giuseppe Meazza Stadium (San Siro) is Rome.,0
The native language of Marguerite Yourcenar is,1
The native language of Marguerite Yourcenar is Spanish.,0
Iruma Air Base is located in the country of,1
Iruma Air Base is located in China.,0
"Bundesautobahn 9, by the way, is the most popular route in",1
The most popular route of Bundesautobahn 9 is in the United States.,0
The native language of Pierre Blanchar is,1
The native language of Pierre Blanchar is English.,0
Courant Institute of Mathematical Sciences's expertise is in the areas of,1
The Courant Institute of Mathematical Sciences specializes in physics and engineering.,0
The original language of Les Francs-juges is,1
The original language of Les Francs-juges is English.,0
The native language of Georges Pompidou is,1
The native language of Georges Pompidou is Spanish.,0
The original language of Face Dances is a mixture of,1
The original language of Face Dances is Spanish.,0
Giacinto Brandi is originally from,1
Giacinto Brandi was originally from Spain.,0
Indira Gandhi International Airport is located in the country of,1
The Indira Gandhi International Airport is located in Pakistan.,0
Cairo American College is located in the country of,1
Cairo American College is located in the United States.,0
Francesco Rutelli worked in the city of,1
Francesco Rutelli worked in Milan.,0
Megan Rapinoe professionally plays the sport of,1
Megan Rapinoe is a professional basketball player.,0
Henri Maurice Berteaux is a citizen of,1
Henri Maurice Berteaux is a citizen of the United States.,0
"Buenos Aires Herald, created in 1891, is the oldest daily newspaper in",1
The Buenos Aires Herald is the oldest daily newspaper in Chile.,0
iTunes is developed by,1
iTunes was developed by Google.,0
EDP Renewables North America is headquartered in,1
EDP Renewables North America is headquartered in New York City.,0
Santo Stefano d'Aveto is located in the country of,1
Santo Stefano d'Aveto is located in Spain.,0
"Abarth's owner,",1
